skidcurr,target,codegender,flagowncar,flagownrealty,cntchildren,amtincometotal,amtcredit,amtannuity,amtgoodsprice,regionpopulationrelative,daysbirth,daysemployed,daysregistration,daysidpublish,owncarage,flagmobil,flagempphone,flagworkphone,flagcontmobile,flagphone,flagemail,cntfammembers,regionratingclient,regionratingclientwcity,hourapprprocessstart,regregionnotliveregion,regregionnotworkregion,liveregionnotworkregion,regcitynotlivecity,regcitynotworkcity,livecitynotworkcity,extsource1,extsource2,extsource3,apartmentsavg,basementareaavg,yearsbeginexpluatationavg,yearsbuildavg,commonareaavg,elevatorsavg,entrancesavg,floorsmaxavg,floorsminavg,landareaavg,livingapartmentsavg,livingareaavg,nonlivingapartmentsavg,nonlivingareaavg,apartmentsmode,basementareamode,yearsbeginexpluatationmode,yearsbuildmode,commonareamode,elevatorsmode,entrancesmode,floorsmaxmode,floorsminmode,landareamode,livingapartmentsmode,livingareamode,nonlivingapartmentsmode,nonlivingareamode,apartmentsmedi,basementareamedi,yearsbeginexpluatationmedi,yearsbuildmedi,commonareamedi,elevatorsmedi,entrancesmedi,floorsmaxmedi,floorsminmedi,landareamedi,livingapartmentsmedi,livingareamedi,nonlivingapartmentsmedi,nonlivingareamedi,totalareamode,obs30cntsocialcircle,def30cntsocialcircle,obs60cntsocialcircle,def60cntsocialcircle,dayslastphonechange,flagdocument2,flagdocument3,flagdocument4,flagdocument5,flagdocument6,flagdocument7,flagdocument8,flagdocument9,flagdocument10,flagdocument11,flagdocument12,flagdocument13,flagdocument14,flagdocument15,flagdocument16,flagdocument17,flagdocument18,flagdocument19,flagdocument20,flagdocument21,amtreqcreditbureauhour,amtreqcreditbureauday,amtreqcreditbureauweek,amtreqcreditbureaumon,amtreqcreditbureauqrt,amtreqcreditbureauyear,namecontracttypeCashloans,namecontracttypeRevolvingloans,nametypesuiteChildren,nametypesuiteFamily,nametypesuiteGroupofpeople,nametypesuiteOtherA,nametypesuiteOtherB,nametypesuiteSpousepartner,nametypesuiteUnaccompanied,nameincometypeBusinessman,nameincometypeCommercialassociate,nameincometypeMaternityleave,nameincometypePensioner,nameincometypeStateservant,nameincometypeStudent,nameincometypeUnemployed,nameincometypeWorking,nameeducationtypeAcademicdegree,nameeducationtypeHighereducation,nameeducationtypeIncompletehigher,nameeducationtypeLowersecondary,nameeducationtypeSecondarysecondaryspecial,namefamilystatusCivilmarriage,namefamilystatusMarried,namefamilystatusSeparated,namefamilystatusSinglenotmarried,namefamilystatusUnknown,namefamilystatusWidow,namehousingtypeCoopapartment,namehousingtypeHouseapartment,namehousingtypeMunicipalapartment,namehousingtypeOfficeapartment,namehousingtypeRentedapartment,namehousingtypeWithparents,occupationtypeAccountants,occupationtypeCleaningstaff,occupationtypeCookingstaff,occupationtypeCorestaff,occupationtypeDrivers,occupationtypeHRstaff,occupationtypeHighskilltechstaff,occupationtypeITstaff,occupationtypeLaborers,occupationtypeLowskillLaborers,occupationtypeManagers,occupationtypeMedicinestaff,occupationtypePrivateservicestaff,occupationtypeRealtyagents,occupationtypeSalesstaff,occupationtypeSecretaries,occupationtypeSecuritystaff,occupationtypeWaitersbarmenstaff,weekdayapprprocessstartFRIDAY,weekdayapprprocessstartMONDAY,weekdayapprprocessstartSATURDAY,weekdayapprprocessstartSUNDAY,weekdayapprprocessstartTHURSDAY,weekdayapprprocessstartTUESDAY,weekdayapprprocessstartWEDNESDAY,organizationtypeAdvertising,organizationtypeAgriculture,organizationtypeBank,organizationtypeBusinessEntityType1,organizationtypeBusinessEntityType2,organizationtypeBusinessEntityType3,organizationtypeCleaning,organizationtypeConstruction,organizationtypeCulture,organizationtypeElectricity,organizationtypeEmergency,organizationtypeGovernment,organizationtypeHotel,organizationtypeHousing,organizationtypeIndustrytype1,organizationtypeIndustrytype10,organizationtypeIndustrytype11,organizationtypeIndustrytype12,organizationtypeIndustrytype13,organizationtypeIndustrytype2,organizationtypeIndustrytype3,organizationtypeIndustrytype4,organizationtypeIndustrytype5,organizationtypeIndustrytype6,organizationtypeIndustrytype7,organizationtypeIndustrytype8,organizationtypeIndustrytype9,organizationtypeInsurance,organizationtypeKindergarten,organizationtypeLegalServices,organizationtypeMedicine,organizationtypeMilitary,organizationtypeMobile,organizationtypeOther,organizationtypePolice,organizationtypePostal,organizationtypeRealtor,organizationtypeReligion,organizationtypeRestaurant,organizationtypeSchool,organizationtypeSecurity,organizationtypeSecurityMinistries,organizationtypeSelfemployed,organizationtypeServices,organizationtypeTelecom,organizationtypeTradetype1,organizationtypeTradetype2,organizationtypeTradetype3,organizationtypeTradetype4,organizationtypeTradetype5,organizationtypeTradetype6,organizationtypeTradetype7,organizationtypeTransporttype1,organizationtypeTransporttype2,organizationtypeTransporttype3,organizationtypeTransporttype4,organizationtypeUniversity,organizationtypeXNA,fondkapremontmodenotspecified,fondkapremontmodeorgspecaccount,fondkapremontmoderegoperaccount,fondkapremontmoderegoperspecaccount,housetypemodeblockofflats,housetypemodespecifichousing,housetypemodeterracedhouse,wallsmaterialmodeBlock,wallsmaterialmodeMixed,wallsmaterialmodeMonolithic,wallsmaterialmodeOthers,wallsmaterialmodePanel,wallsmaterialmodeStonebrick,wallsmaterialmodeWooden,emergencystatemodeNo,emergencystatemodeYes,daysemployedperc,incomecreditperc,incomeperperson,annuityincomeperc,paymentrate
100002,1.0,0,0,0,0,202500.0,406597.5,24700.5,351000.0,0.018801,-9461,-637,-3648.0,-2120,,1,1,0,1,1,0,1.0,2,2,10,0,0,0,0,0,0,0.0830369673913225,0.2629485927471776,0.1393757800997895,0.0247,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.0833,0.125,0.0369,0.0202,0.019,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,0.0149,2.0,2.0,2.0,2.0,-1134.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0673290349857309,0.4980355265342261,202500.0,0.12197777777777778,0.06074926678103038
100003,0.0,1,0,1,0,270000.0,1293502.5,35698.5,1129500.0,0.0035409999999999,-16765,-1188,-1186.0,-291,,1,1,0,1,1,0,2.0,1,1,11,0,0,0,0,0,0,0.3112673113812225,0.6222457752555098,,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,0.0714,1.0,0.0,1.0,0.0,-828.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,0.07086191470325082,0.20873558419871627,135000.0,0.13221666666666668,0.027598323157473605
100004,0.0,0,1,0,0,67500.0,135000.0,6750.0,135000.0,0.010032,-19046,-225,-4260.0,-2531,26.0,1,1,1,1,1,0,1.0,2,2,9,0,0,0,0,0,0,,0.5559120833904428,0.7295666907060153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.011813504147852568,0.5,67500.0,0.1,0.05
100006,0.0,1,0,0,0,135000.0,312682.5,29686.5,297000.0,0.008019,-19005,-3039,-9833.0,-2437,,1,1,0,1,0,0,2.0,2,2,17,0,0,0,0,0,0,,0.6504416904014653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-617.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15990528808208365,0.4317478592501979,67500.0,0.2199,0.09494135424911851
100007,0.0,0,0,0,0,121500.0,513000.0,21865.5,513000.0,0.028663,-19932,-3038,-4311.0,-3458,,1,1,0,1,0,0,1.0,2,2,11,0,0,0,0,1,1,,0.3227382869704046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1106.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1524182219546458,0.23684210526315788,121500.0,0.17996296296296296,0.04262280701754386
100008,0.0,0,0,0,0,99000.0,490495.5,27517.5,454500.0,0.035792,-16941,-1588,-4970.0,-477,,1,1,1,1,1,0,2.0,2,2,16,0,0,0,0,0,0,,0.3542247319929012,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2536.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09373708753910631,0.20183671409829448,49500.0,0.27795454545454545,0.05610143212323049
100009,0.0,1,1,0,1,171000.0,1560726.0,41301.0,1395000.0,0.035792,-13778,-3130,-1213.0,-619,17.0,1,1,0,1,1,0,3.0,2,2,16,0,0,0,0,0,0,0.7747614130547695,0.7239998516953141,0.4920600938649263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1562.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2271737552620119,0.10956439503154301,57000.0,0.24152631578947367,0.0264626846736711
100010,0.0,0,1,0,0,360000.0,1530000.0,42075.0,1530000.0,0.0031219999999999,-18850,-449,-4597.0,-2379,8.0,1,1,1,1,0,0,2.0,3,3,16,0,0,0,0,1,1,,0.7142792864482229,0.5406544504453575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.023819628647214854,0.23529411764705882,180000.0,0.116875,0.0275
100011,0.0,1,0,0,0,112500.0,1019610.0,33826.5,913500.0,0.018634,-20099,365243,-7427.0,-3514,,1,0,0,1,0,0,2.0,2,2,14,0,0,0,0,0,0,0.5873340468730377,0.2057472880073281,0.7517237147741489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-18.172197621772227,0.11033630505781622,56250.0,0.30068,0.03317592020478418
100012,0.0,0,0,0,0,135000.0,405000.0,20250.0,405000.0,0.0196889999999999,-14469,-2019,-14437.0,-3992,,1,1,0,1,0,0,1.0,2,2,8,0,0,0,0,0,0,,0.7466436294590924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13953970557744141,0.3333333333333333,135000.0,0.15,0.05
